raw_bijoy	context	source_file	question_number	correct_bengali
cj	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
-	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
 `	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
vM	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
gvU	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
|	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
GKwU	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
ivBWvi	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
 Kiv 	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
| 	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
evg	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
Wvb	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
GKwU	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
evULviv	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
 Kiv 	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
fvimvg	cj-eyw½ e¨v‡j‡Ý ex‡gi me©ev‡g ‘0 ’ `vM †_‡K †gvU `vMv¼b msL¨v 50 | 5mg  f‡ii GKwU ivBWvi e¨envi Kiv 	C1 MCQ 1.mhtml	1	
e	e¯‘i fi ={50+10+1+0.25+0.05+0.02+(20×5×250×1000)}g=61.324g 	C1 MCQ 1.mhtml	1	
i	e¯‘i fi ={50+10+1+0.25+0.05+0.02+(20×5×250×1000)}g=61.324g 	C1 MCQ 1.mhtml	1	
 fi 	e¯‘i fi ={50+10+1+0.25+0.05+0.02+(20×5×250×1000)}g=61.324g 	C1 MCQ 1.mhtml	1	
Kvb	j¨ve‡iUwi‡Z †n‡·b (C6H14)  †Kvb M¨vmwUi cwie‡Z© e¨envi Kiv nq?	C1 MCQ 1.mhtml	2	
 Kiv nq?	j¨ve‡iUwi‡Z †n‡·b (C6H14)  †Kvb M¨vmwUi cwie‡Z© e¨envi Kiv nq?	C1 MCQ 1.mhtml	2	
GK 	GK UzKiv mv`v dmdivm Ges evZv‡mi Aw·‡R‡bi wewµqvq  44.8 L  Aw·‡Rb M¨vm e¨eüZ n‡j, Kx cwigvY dmdivm w	C1 MCQ 1.mhtml	3	
UzKiv	GK UzKiv mv`v dmdivm Ges evZv‡mi Aw·‡R‡bi wewµqvq  44.8 L  Aw·‡Rb M¨vm e¨eüZ n‡j, Kx cwigvY dmdivm w	C1 MCQ 1.mhtml	3	
mv`v	GK UzKiv mv`v dmdivm Ges evZv‡mi Aw·‡R‡bi wewµqvq  44.8 L  Aw·‡Rb M¨vm e¨eüZ n‡j, Kx cwigvY dmdivm w	C1 MCQ 1.mhtml	3	
dmdivm	GK UzKiv mv`v dmdivm Ges evZv‡mi Aw·‡R‡bi wewµqvq  44.8 L  Aw·‡Rb M¨vm e¨eüZ n‡j, Kx cwigvY dmdivm w	C1 MCQ 1.mhtml	3	
 Ges	GK UzKiv mv`v dmdivm Ges evZv‡mi Aw·‡R‡bi wewµqvq  44.8 L  Aw·‡Rb M¨vm e¨eüZ n‡j, Kx cwigvY dmdivm w	C1 MCQ 1.mhtml	3	
, Kx 	GK UzKiv mv`v dmdivm Ges evZv‡mi Aw·‡R‡bi wewµqvq  44.8 L  Aw·‡Rb M¨vm e¨eüZ n‡j, Kx cwigvY dmdivm w	C1 MCQ 1.mhtml	3	
cwigvY	GK UzKiv mv`v dmdivm Ges evZv‡mi Aw·‡R‡bi wewµqvq  44.8 L  Aw·‡Rb M¨vm e¨eüZ n‡j, Kx cwigvY dmdivm w	C1 MCQ 1.mhtml	3	
dmdivm	GK UzKiv mv`v dmdivm Ges evZv‡mi Aw·‡R‡bi wewµqvq  44.8 L  Aw·‡Rb M¨vm e¨eüZ n‡j, Kx cwigvY dmdivm w	C1 MCQ 1.mhtml	3	
?	GK UzKiv mv`v dmdivm Ges evZv‡mi Aw·‡R‡bi wewµqvq  44.8 L  Aw·‡Rb M¨vm e¨eüZ n‡j, Kx cwigvY dmdivm w	C1 MCQ 1.mhtml	3	
a, b, c, d 	 aKMnO4+bH2SO4+cH2O2→K2SO4+2MnSO4+dH2O+5 O2  wewµqvwUi mgZvKi‡Y a, b, c, d Gi gvb h_vµ‡g- 	C1 MCQ 1.mhtml	4	
Gi 	 aKMnO4+bH2SO4+cH2O2→K2SO4+2MnSO4+dH2O+5 O2  wewµqvwUi mgZvKi‡Y a, b, c, d Gi gvb h_vµ‡g- 	C1 MCQ 1.mhtml	4	
gvb	 aKMnO4+bH2SO4+cH2O2→K2SO4+2MnSO4+dH2O+5 O2  wewµqvwUi mgZvKi‡Y a, b, c, d Gi gvb h_vµ‡g- 	C1 MCQ 1.mhtml	4	
h_v	 aKMnO4+bH2SO4+cH2O2→K2SO4+2MnSO4+dH2O+5 O2  wewµqvwUi mgZvKi‡Y a, b, c, d Gi gvb h_vµ‡g- 	C1 MCQ 1.mhtml	4	
xq	CrO5  †hŠ‡M †K›`ªxq cigvYyi cÖK…Z RviY msL¨v KZ?	C1 MCQ 1.mhtml	5	
cigvYyi	CrO5  †hŠ‡M †K›`ªxq cigvYyi cÖK…Z RviY msL¨v KZ?	C1 MCQ 1.mhtml	5	
RviY	CrO5  †hŠ‡M †K›`ªxq cigvYyi cÖK…Z RviY msL¨v KZ?	C1 MCQ 1.mhtml	5	
 KZ?	CrO5  †hŠ‡M †K›`ªxq cigvYyi cÖK…Z RviY msL¨v KZ?	C1 MCQ 1.mhtml	5	
|	 CrO5  Gi mv‡_ GKwU A·vBW I `ywU cvi-A·vBW hy³ Av‡Q| ZvB †K›`ªxq cigvYyi RviY msL¨v = +6 |	C1 MCQ 1.mhtml	5	
KvbwU	wb‡Pi †KvbwU RviK I weRviK Dfq wn‡m‡e KvR Ki‡Z cv‡i?	C1 MCQ 1.mhtml	7	
RviK	wb‡Pi †KvbwU RviK I weRviK Dfq wn‡m‡e KvR Ki‡Z cv‡i?	C1 MCQ 1.mhtml	7	
 I 	wb‡Pi †KvbwU RviK I weRviK Dfq wn‡m‡e KvR Ki‡Z cv‡i?	C1 MCQ 1.mhtml	7	
weRviK	wb‡Pi †KvbwU RviK I weRviK Dfq wn‡m‡e KvR Ki‡Z cv‡i?	C1 MCQ 1.mhtml	7	
Dfq	wb‡Pi †KvbwU RviK I weRviK Dfq wn‡m‡e KvR Ki‡Z cv‡i?	C1 MCQ 1.mhtml	7	
KvR	wb‡Pi †KvbwU RviK I weRviK Dfq wn‡m‡e KvR Ki‡Z cv‡i?	C1 MCQ 1.mhtml	7	
?	wb‡Pi †KvbwU RviK I weRviK Dfq wn‡m‡e KvR Ki‡Z cv‡i?	C1 MCQ 1.mhtml	7	
f	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
ii	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
 GK 	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
UyK	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
iv	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
jvnv	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
K	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
jNy	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
exf~Z	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
K	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
i	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
eY	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
K	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
c	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
RvwiZ	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
Ki	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
Z	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
eY	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
| 	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
jvnvi	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
